date,st_dev_lt_sce,st_dev_resid_lt_sce,st_dev_lt_sce_ma,st_dev_resid_lt_sce_ma
2021m4,5.7834964,5.7020216,6.0322633,5.9717579
2021m5,5.8726192,5.7558813,5.9267077,5.8702979
2021m6,5.9280815,5.9304981,5.9088235,5.8753653
2021m7,5.9460883,5.8573794,6.0314703,5.9841976
2021m8,6.0987663,6.1715708,6.035326,5.9779577
2021m9,5.4347353,5.320416,6.2126164,6.1373076
2021m10,6.0079494,5.954062,6.3129463,6.2512984
2021m11,6.5430121,6.4563727,6.4722662,6.3957381
2021m12,6.7031856,6.6534166,6.6922817,6.6400452
2022m1,7.3791118,7.1361737,6.9277563,6.8582096
2022m2,6.7755857,6.7817945,7.1573973,7.0776873
2022m3,7.3619633,7.2304583,7.2840347,7.2160769
2022m4,7.9262242,8.0561409,7.3420815,7.2777162
2022m5,8.2180414,8.1350527,7.3419795,7.2550402
2022m6,7.501503,7.2957158,7.3138533,7.2635279
2022m7,7.147686,7.1995654,7.4304714,7.3844843
2022m8,7.065434,7.0111289,7.4479308,7.4148145
2022m9,6.7022643,6.4493313,7.5023575,7.445291
2022m10,7.125978,7.2125611,7.4542542,7.4061532
2022m11,7.8251481,7.8704062,7.4977942,7.4636741
2022m12,7.5191002,7.503427,7.5405927,7.4843707
2023m1,8.4160624,8.33043,7.5500565,7.4783068
2023m2,7.785111,7.7828135,7.5490828,7.4944286
2023m3,7.8933625,7.8134036,7.5225167,7.4791136
2023m4,7.5328746,7.3858328,7.310689,7.2589154
2023m5,7.1506085,6.9565539,7.2155447,7.1483564
2023m6,6.6934981,6.5944314,7.0192604,6.9528828
2023m7,6.8868856,7.0747223,6.9047675,6.8608737
2023m8,5.9186969,5.8886232,6.7313752,6.6918964
2023m9,6.6628013,6.5083981,6.7171321,6.6859322
2023m10,6.6495056,6.5711656,6.6962228,6.6990604
2023m11,6.7546759,6.9547338,6.716877,6.7340112
2023m12,6.3328285,6.2926083,6.6695919,6.6446934
2024m1,7.4046893,7.3321514,6.7932062,6.7682939
2024m2,6.9624248,7.0747108,6.7545915,6.7328939
2024m3,6.8793831,6.908987,6.7116742,6.6955647
