date,skew_sce,skew_resid_sce,skew_sce_ma,skew_resid_sce_ma
2022m7,-.97374874,-1.1087538,-.63690668,-.7339378
2022m8,-.56858665,-.76458782,-.61852694,-.71677196
2022m9,-.84052604,-.93809378,-.57266599,-.66724432
2022m10,.16052468,.20286667,-.54333216,-.63964581
2022m11,-.23228286,-.29480386,-.5324623,-.64341259
2022m12,-.14333408,-.27362612,-.53456318,-.65761209
2023m1,-.83373624,-.89837128,-.50244689,-.64169484
2023m2,-.66759539,-.87959188,-.4322435,-.59495133
2023m3,-.69287544,-.8357513,-.46384522,-.65522689
2023m4,-.99265659,-1.2365491,-.42486769,-.64985776
2023m5,-.2795403,-.62133294,-.41055825,-.65901566
2023m6,-.2086952,-.51740223,-.37319645,-.65501142
2023m7,-.12389094,-.33961323,-.38565275,-.66244286
2023m8,.11851493,-.2464817,-.3713735,-.6486603
2023m9,-.014549159,-.35604721,-.33029562,-.62521839
2023m10,-.49747995,-.86233294,-.24825905,-.53311098
2023m11,-.77970213,-.94647509,-.28857756,-.55887336
2023m12,-.56436229,-.71170837,-.31260774,-.58257753
2024m1,-.62295544,-1.0255716,-.3590413,-.59848195
2024m2,.45878866,.2076333,-.40210283,-.62878633
2024m3,-.57156169,-.74926347,-.38847753,-.59542251
2024m4,-.34016243,-.55295062,-.32327342,-.53691375
2024m5,-.29938743,-.3896217,-.27505568,-.50195479
2024m6,,,,
2024m7,,,,
2024m8,,,,
2024m9,,,,
2024m10,,,,
2024m11,,,,
2024m12,,,,
2025m1,,,,
2025m2,,,,
