date,st_dev_sce,st_dev_resid_sce,st_dev_sce_ma,st_dev_resid_sce_ma
2022m6,7.0756412,6.769299,6.4821229,6.3015914
2022m7,8.2760096,8.1671953,6.6441183,6.4837718
2022m8,7.8528504,7.6911693,6.5947328,6.41926
2022m9,5.2057738,5.3685818,6.8340397,6.6341386
2022m10,6.0736547,5.5742502,6.899477,6.720315
2022m11,6.2568421,6.0919085,6.9154773,6.7749429
2022m12,5.8936286,5.5317812,6.8374672,6.6920943
2023m1,8.6180525,8.461237,6.7066269,6.5485868
2023m2,6.8428416,6.8274126,6.8168669,6.625668
2023m3,7.2196403,7.2609487,6.9036989,6.7385268
2023m4,7.5739193,7.4215608,6.8307152,6.6748371
2023m5,6.6752906,6.3996005,6.841064,6.7052369
2023m6,6.1979322,6.062314,6.6605835,6.5517559
2023m7,6.855145,6.5899782,6.711421,6.6157136
2023m8,5.5999866,5.5187011,6.7374778,6.6403842
2023m9,5.9867659,5.8053813,6.6813745,6.5805311
2023m10,6.9937301,7.0799055,6.6321497,6.549396
2023m11,7.3003807,7.4030318,6.8141084,6.7601428
2023m12,7.4541492,7.4829836,6.8715854,6.8276162
2024m1,7.0689917,6.8828859,7.1326952,7.0889034
2024m2,6.2322664,6.1193819,7.2759366,7.2493439
2024m3,7.8355608,7.9590354,7.3162518,7.2735491
2024m4,7.3724365,7.197238,7.3188968,7.2519684
2024m5,7.949976,7.8702869,7.2918463,7.2057657
2024m6,,,,
2024m7,,,,
2024m8,,,,
2024m9,,,,
2024m10,,,,
2024m11,,,,
2024m12,,,,
2025m1,,,,
2025m2,,,,
