date,st_dev_lt_msc,st_dev_resid_lt_msc,st_dev_lt_msc_ma,st_dev_resid_lt_msc_ma
1978m1,,,,
1978m2,,,,
1978m3,,,,
1978m4,,,,
1978m5,,,,
1978m6,,,,
1978m7,,,,
1978m8,,,,
1978m9,,,,
1978m10,,,,
1978m11,,,,
1978m12,,,,
1979m1,,,,
1979m2,4.1788797,4.1897931,4.1788797,4.1897931
1979m3,,,,
1979m4,,,,
1979m5,,,,
1979m6,,,,
1979m7,,,,
1979m8,,,,
1979m9,,,,
1979m10,,,,
1979m11,,,,
1979m12,,,,
1980m1,,,,
1980m2,6.1115079,6.1405191,6.1115079,6.1405191
1980m3,,,,
1980m4,,,,
1980m5,,,,
1980m6,,,,
