date,mean_fcast_msc,mean_fcast_sce,mean_fcast_ecb,mean_resid_msc,mean_resid_sce,mean_resid_ecb,med_fcast_msc,med_fcast_sce,med_fcast_ecb,med_resid_msc,med_resid_sce,med_resid_ecb,iqr_msc,iqr_sce,iqr_ecb,iqr_resid_msc,iqr_resid_sce,iqr_resid_ecb,st_dev_msc,st_dev_sce,st_dev_ecb,st_dev_msc_ma,st_dev_sce_ma,st_dev_ecb_ma,quasi_st_dev_msc,quasi_st_dev_sce,quasi_st_dev_ecb,st_dev_trim_msc,st_dev_trim_sce,st_dev_trim_ecb,skew_msc,skew_sce,skew_ecb,skew_msc_ma,skew_sce_ma,skew_ecb_ma,mode_skewness_msc,mode_skewness_sce,mode_skewness_ecb,kurtosis_msc,kurtosis_sce,kurtosis_ecb,st_dev_resid_msc,st_dev_resid_sce,st_dev_resid_ecb,st_dev_resid_msc_ma,st_dev_resid_sce_ma,st_dev_resid_ecb_ma,quasi_st_dev_resid_msc,quasi_st_dev_resid_sce,quasi_st_dev_resid_ecb,st_dev_trim_resid_msc,st_dev_trim_resid_sce,st_dev_trim_resid_ecb,skew_resid_msc,skew_resid_sce,skew_resid_ecb,skew_resid_msc_ma,skew_resid_sce_ma,skew_resid_ecb_ma,mode_skewness_resid_msc,mode_skewness_resid_sce,mode_skewness_resid_ecb,kurtosis_resid_msc,kurtosis_resid_sce,kurtosis_resid_ecb,mean_fcast_lt_msc,mean_fcast_lt_sce,mean_fcast_lt_ecb,mean_resid_lt_msc,mean_resid_lt_sce,mean_resid_lt_ecb,med_fcast_lt_msc,med_fcast_lt_sce,med_fcast_lt_ecb,med_resid_lt_msc,med_resid_lt_sce,med_resid_lt_ecb,iqr_lt_msc,iqr_lt_sce,iqr_lt_ecb,iqr_resid_lt_msc,iqr_resid_lt_sce,iqr_resid_lt_ecb,st_dev_lt_msc,st_dev_lt_sce,st_dev_lt_ecb,st_dev_lt_msc_ma,st_dev_lt_sce_ma,st_dev_lt_ecb_ma,quasi_st_dev_lt_msc,quasi_st_dev_lt_sce,quasi_st_dev_lt_ecb,st_dev_trim_lt_msc,st_dev_trim_lt_sce,st_dev_trim_lt_ecb,skew_lt_msc,skew_lt_sce,skew_lt_ecb,skew_lt_msc_ma,skew_lt_sce_ma,skew_lt_ecb_ma,mode_skewness_lt_msc,mode_skewness_lt_sce,mode_skewness_lt_ecb,kurtosis_lt_msc,kurtosis_lt_sce,kurtosis_lt_ecb,st_dev_resid_lt_msc,st_dev_resid_lt_sce,st_dev_resid_lt_ecb,st_dev_resid_lt_msc_ma,st_dev_resid_lt_sce_ma,st_dev_resid_lt_ecb_ma,quasi_st_dev_resid_lt_msc,quasi_st_dev_resid_lt_sce,quasi_st_dev_resid_lt_ecb,st_dev_trim_resid_lt_msc,st_dev_trim_resid_lt_sce,st_dev_trim_resid_lt_ecb,skew_resid_lt_msc,skew_resid_lt_sce,skew_resid_lt_ecb,skew_resid_lt_msc_ma,skew_resid_lt_sce_ma,skew_resid_lt_ecb_ma,mode_skewness_resid_lt_msc,mode_skewness_resid_lt_sce,mode_skewness_resid_lt_ecb,kurtosis_resid_lt_msc,kurtosis_resid_lt_sce,kurtosis_resid_lt_ecb
1978m11,6.817189312984796,,,2.106303953819131,,,7,,,2.1838284,,,5,,,5.398417,,,4.3697357,,,4.3958421,,,3.5,,,,,,.40242577,,,.44589698,,,-.6841566,,,3.397285,,,4.4249773,,,4.415019,,,3.9221482,,,.26301587,,,.38520479,,,.425405,,,-.55056965,,,3.3389375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978m12,6.837222787092261,,,2.109705246380745,,,7,,,2.1266928,,,5,,,5.3462291,,,4.0663176,,,4.4586382,,,3.5,,,0,,,.49857405,,,.42059344,,,-.7464211,,,3.8108368,,,4.128747,,,4.4723344,,,3.6994998,,,.53889728,,,.48986357,,,.40075809,,,,,,3.6977115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979m1,7.265500547681682,,,2.663310465931333,,,7,,,2.7804639,,,5,,,5.0571356,,,4.1709595,,,4.4944201,,,3.5,,,.44594848,,,.4108462,,,.40260231,,,-.55723566,,,3.6608963,,,4.1673617,,,4.5145116,,,3.5024056,,,.80844724,,,.39911938,,,.38779181,,,-.44461733,,,3.5811129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979m2,7.643034633996634,,,3.074526289135839,,,8,,,3.4681103,,,5,,,5.2842817,,,4.6818991,,,4.555716,,,4,,,0,,,.39472792,,,.34784985,,,-.45735809,,,3.2587998,,,4.6787457,,,4.5679312,,,4.1068926,,,.42819497,,,.37731361,,,.33210528,,,-.34373704,,,3.2820284,,,6.916737468942071,,,2.839646361905094,,,7,,,2.9073782,,,5,,,5.0923939,,,4.1788797,,,4.1788797,,,3.5,,,0,,,.48721683,,,.48721683,,,.51545286,,,3.6488283,,,4.1897931,,,4.1897931,,,3.5790761,,,.47502589,,,.4050293,,,.4050293,,,-.53810501,,,3.5538864,,
1979m3,7.802454271342262,,,2.977986745652693,,,8,,,3.2360163,,,5,,,5.7921085,,,4.5826473,,,4.6873102,,,4.5,,,.50036269,,,.38836926,,,.31815413,,,-.44774106,,,3.1141329,,,4.604537,,,4.6934671,,,4.5024056,,,.62551737,,,.36723834,,,.30185142,,,.73163831,,,3.0087607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979m4,8.330238799455101,,,3.351496468937059,,,9,,,4.1788807,,,6,,,5.8448792,,,4.7659707,,,4.7952099,,,5,,,0,,,.25559789,,,.29021284,,,-.3596929,,,2.8286877,,,4.7282019,,,4.7861085,,,4.7108383,,,.53438109,,,.22785074,,,.2706635,,,-.27699694,,,2.8060141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979m5,8.397284568108068,,,3.715429984852658,,,10,,,4.7804637,,,7,,,6.8858647,,,5.0423346,,,4.909122,,,5,,,.30630895,,,.22048402,,,.25320655,,,-.23341304,,,2.6798606,,,5.0495896,,,4.8981452,,,4.815547,,,.83642888,,,.22935474,,,.23785882,,,-.25906315,,,2.6671491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979m6,8.258469322964354,,,3.542229487928133,,,10,,,4.7804637,,,6,,,6.2842817,,,5.1130948,,,5.0019202,,,5,,,,,,.16373517,,,.23847327,,,-.29384843,,,2.603199,,,5.0804977,,,4.9942503,,,5.2207575,,,.2913025,,,.13201436,,,.22162251,,,-.20421545,,,2.5927262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979m7,8.539548031874991,,,3.769622102295644,,,10,,,4.8065577,,,8,,,7.7059588,,,5.3928313,,,5.082859,,,6,,,,,,.12862696,,,.20348917,,,-.19755487,,,2.4514883,,,5.3785462,,,5.0797391,,,5.8268857,,,.30400378,,,.10870314,,,.18583877,,,-.11744411,,,2.4326322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979m8,8.275175158423542,,,3.530940033690934,,,10,,,4.7804637,,,7,,,6.9428639,,,5.3408327,,,5.169095,,,5,,,,,,.15095407,,,.18256673,,,-.30408666,,,2.4534454,,,5.25875,,,5.1580029,,,5.289453,,,.22895946,,,.10451364,,,.16239507,,,-.21770692,,,2.4491844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
