date,mean_fcast_msc,mean_fcast_sce,mean_fcast_ecb,mean_resid_msc,mean_resid_sce,mean_resid_ecb,med_fcast_msc,med_fcast_sce,med_fcast_ecb,med_resid_msc,med_resid_sce,med_resid_ecb,iqr_msc,iqr_sce,iqr_ecb,iqr_resid_msc,iqr_resid_sce,iqr_resid_ecb,st_dev_msc,st_dev_sce,st_dev_ecb,st_dev_msc_ma,st_dev_sce_ma,st_dev_ecb_ma,quasi_st_dev_msc,quasi_st_dev_sce,quasi_st_dev_ecb,st_dev_trim_msc,st_dev_trim_sce,st_dev_trim_ecb,skew_msc,skew_sce,skew_ecb,skew_msc_ma,skew_sce_ma,skew_ecb_ma,mode_skewness_msc,mode_skewness_sce,mode_skewness_ecb,kurtosis_msc,kurtosis_sce,kurtosis_ecb,st_dev_resid_msc,st_dev_resid_sce,st_dev_resid_ecb,st_dev_resid_msc_ma,st_dev_resid_sce_ma,st_dev_resid_ecb_ma,quasi_st_dev_resid_msc,quasi_st_dev_resid_sce,quasi_st_dev_resid_ecb,st_dev_trim_resid_msc,st_dev_trim_resid_sce,st_dev_trim_resid_ecb,skew_resid_msc,skew_resid_sce,skew_resid_ecb,skew_resid_msc_ma,skew_resid_sce_ma,skew_resid_ecb_ma,mode_skewness_resid_msc,mode_skewness_resid_sce,mode_skewness_resid_ecb,kurtosis_resid_msc,kurtosis_resid_sce,kurtosis_resid_ecb,mean_fcast_lt_msc,mean_fcast_lt_sce,mean_fcast_lt_ecb,mean_resid_lt_msc,mean_resid_lt_sce,mean_resid_lt_ecb,med_fcast_lt_msc,med_fcast_lt_sce,med_fcast_lt_ecb,med_resid_lt_msc,med_resid_lt_sce,med_resid_lt_ecb,iqr_lt_msc,iqr_lt_sce,iqr_lt_ecb,iqr_resid_lt_msc,iqr_resid_lt_sce,iqr_resid_lt_ecb,st_dev_lt_msc,st_dev_lt_sce,st_dev_lt_ecb,st_dev_lt_msc_ma,st_dev_lt_sce_ma,st_dev_lt_ecb_ma,quasi_st_dev_lt_msc,quasi_st_dev_lt_sce,quasi_st_dev_lt_ecb,st_dev_trim_lt_msc,st_dev_trim_lt_sce,st_dev_trim_lt_ecb,skew_lt_msc,skew_lt_sce,skew_lt_ecb,skew_lt_msc_ma,skew_lt_sce_ma,skew_lt_ecb_ma,mode_skewness_lt_msc,mode_skewness_lt_sce,mode_skewness_lt_ecb,kurtosis_lt_msc,kurtosis_lt_sce,kurtosis_lt_ecb,st_dev_resid_lt_msc,st_dev_resid_lt_sce,st_dev_resid_lt_ecb,st_dev_resid_lt_msc_ma,st_dev_resid_lt_sce_ma,st_dev_resid_lt_ecb_ma,quasi_st_dev_resid_lt_msc,quasi_st_dev_resid_lt_sce,quasi_st_dev_resid_lt_ecb,st_dev_trim_resid_lt_msc,st_dev_trim_resid_lt_sce,st_dev_trim_resid_lt_ecb,skew_resid_lt_msc,skew_resid_lt_sce,skew_resid_lt_ecb,skew_resid_lt_msc_ma,skew_resid_lt_sce_ma,skew_resid_lt_ecb_ma,mode_skewness_resid_lt_msc,mode_skewness_resid_lt_sce,mode_skewness_resid_lt_ecb,kurtosis_resid_lt_msc,kurtosis_resid_lt_sce,kurtosis_resid_lt_ecb
1978m1,4.96987614833171,,,.2931018741248601,,,5,,,.14612517,,,4,,,4.8030653,,,3.9173925,,,4.34445,,,4.5,,,,,,.88469291,,,.82457286,,,.092128195,,,4.3323922,,,3.9265113,,,4.3453579,,,4.2969279,,,.21134773,,,.86723554,,,.79334754,,,-1.0688555,,,4.2833238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978m2,6.033030727609065,,,1.14576396044365,,,5,,,.635243,,,6,,,6.462358,,,4.6166449,,,4.3426127,,,4,,,,,,.87288046,,,.79138637,,,.28392854,,,3.7553327,,,4.5758567,,,4.3407531,,,4.2244964,,,.21917932,,,.83017361,,,.75799322,,,.38112736,,,3.6998236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978m3,5.747969788788389,,,.9953711227934838,,,5,,,.41250852,,,6,,,6.3421555,,,4.3726387,,,4.3223543,,,4.5,,,,,,.88555455,,,.74737829,,,.18687421,,,4.0507789,,,4.4117813,,,4.3223324,,,4.3633208,,,.20006636,,,.84132928,,,.71394777,,,,,,3.8832119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978m4,6.304524643895968,,,1.477635543608471,,,6,,,1.4125085,,,6,,,5.8425388,,,4.0475073,,,4.3720975,,,4,,,0,,,.77309525,,,.70175654,,,.33306089,,,4.2149034,,,4.0784221,,,4.3658023,,,3.7435093,,,.42514199,,,.74790704,,,.66794342,,,.4345108,,,4.0993266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978m5,6.207582523510395,,,1.400580840483676,,,6,,,1.1728849,,,7,,,6.708468,,,4.7680664,,,4.3931341,,,4.5,,,,,,.70664114,,,.69672883,,,-.73089039,,,3.3335843,,,4.7342191,,,4.3917351,,,4.450182,,,.22791626,,,.68009233,,,.66409457,,,-.65213656,,,3.2837713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978m6,6.182596663020243,,,1.668845548769356,,,6,,,1.6858666,,,7,,,5.7492356,,,4.3334265,,,4.425478,,,4,,,0,,,.62545401,,,.64241719,,,.38345686,,,3.5200577,,,4.317728,,,4.4274859,,,3.9261208,,,.40893793,,,.58122146,,,.61007863,,,,,,3.3670573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978m7,6.087994664997521,,,1.340842907742967,,,6,,,1.7801059,,,7,,,6.6578445,,,4.2008047,,,4.3980436,,,4,,,,,,.48332974,,,.59014446,,,.32246724,,,3.274734,,,4.2118092,,,4.4107361,,,4.2908897,,,.29284939,,,.44967508,,,.5606432,,,.420807,,,3.1846912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978m8,7.185429221930725,,,2.2170795890663,,,7,,,2.4764974,,,6,,,6.0506234,,,4.7202978,,,4.3640079,,,4,,,,,,.38240409,,,.54714662,,,-.55973727,,,2.9928088,,,4.6700907,,,4.3793259,,,4.1710777,,,.28281295,,,.34591287,,,.52158248,,,-.54954755,,,2.9761362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978m9,6.302608173285503,,,1.512187640854115,,,6,,,1.2339779,,,7,,,6.6578445,,,4.561429,,,4.3777251,,,4.5,,,,,,.65650749,,,.50689673,,,.29850116,,,3.4008884,,,4.5991993,,,4.3892002,,,4.6183639,,,.22902307,,,.63330406,,,.48283896,,,-.69453686,,,3.2775652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978m10,6.882738214902383,,,2.113958365020743,,,7,,,1.9254901,,,6,,,5.708468,,,4.208487,,,4.3681507,,,4,,,,,,.39588824,,,.47223973,,,-.79975814,,,3.2670331,,,4.2482691,,,4.3830428,,,4.1451235,,,.28982607,,,.38109195,,,.44919693,,,-.68245649,,,3.2073038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
