date,mean_fcast_ecb,med_fcast_ecb
2020m1,,
2020m2,,
2020m3,,
2020m4,3.590860487619447,2
2020m5,3.80089054927159,2
2020m6,3.681066404621255,2
2020m7,3.662556610644507,2
2020m8,3.037405749028987,2
2020m9,2.832589407258689,2
2020m10,3.454631765499617,2.3499999
2020m11,3.234586770598368,2
2020m12,3.572021069962888,2
2021m1,3.209249383115707,2
2021m2,4.027083160117456,2
2021m3,3.765519711164415,2.5
2021m4,3.524232515388196,2.0999999
2021m5,3.31128689041168,2.1500001
2021m6,4.530723627346544,2.5
2021m7,4.236522019263532,3
2021m8,3.892436200285369,2.5
2021m9,3.980298203935553,3
2021m10,3.830768325491447,2.3
2021m11,5.395415936395717,4.3500004
2021m12,4.172344753074709,3
2022m1,4.906882975223958,4.5999999
2022m2,4.840744640239755,4
2022m3,6.057771299400727,5
2022m4,7.567383132025928,6.6999998
2022m5,6.851498336869495,6
2022m6,7.098852398172909,6
2022m7,6.890985201492986,5.9000001
2022m8,6.887336943276724,6
2022m9,7.133059407091597,5.5
2022m10,7.11376775195182,6
2022m11,6.694558266986818,5.5
2022m12,5.993035717587187,5
2023m1,5.480175726368814,5
2023m2,5.252574079517895,5
2023m3,5.327665501057685,5
2023m4,4.356776807961061,5
2023m5,3.937534717472094,4.8000002
2023m6,4.185440842865331,4
2023m7,4.260756968687165,4
2023m8,4.885373205815951,4.9000001
2023m9,5.212741875813017,5
2023m10,5.058410096127184,5
2023m11,4.550810892556921,4
2023m12,4.484572503992082,3.5
2024m1,4.432675338422851,3.5
2024m2,4.607053722425807,3.5
2024m3,4.389726961402816,3.5
2024m4,4.748305967677882,3.5
2024m5,4.257841173905025,3
2024m6,3.86534681203128,3
2024m7,,
2024m8,,
