date,f_mean_msc,f_mean_sce,f_mean_ecb,r_mean_msc,r_mean_sce,r_mean_ecb,iqr_msc,iqr_sce,iqr_ecb,iqr_resid_msc,iqr_resid_sce,iqr_resid_ecb,st_dev_msc,st_dev_sce,st_dev_ecb,st_dev_msc_ma,st_dev_sce_ma,st_dev_ecb_ma,quasi_st_dev_msc,quasi_st_dev_sce,quasi_st_dev_ecb,st_dev_trim_msc,st_dev_trim_sce,st_dev_trim_ecb,skew_msc,skew_sce,skew_ecb,skew_msc_ma,skew_sce_ma,skew_ecb_ma,mode_skewness_msc,mode_skewness_sce,mode_skewness_ecb,kurtosis_msc,kurtosis_sce,kurtosis_ecb,st_dev_resid_msc,st_dev_resid_sce,st_dev_resid_ecb,st_dev_resid_msc_ma,st_dev_resid_sce_ma,st_dev_resid_ecb_ma,quasi_st_dev_resid_msc,quasi_st_dev_resid_sce,quasi_st_dev_resid_ecb,st_dev_trim_resid_msc,st_dev_trim_resid_sce,st_dev_trim_resid_ecb,skew_resid_msc,skew_resid_sce,skew_resid_ecb,skew_resid_msc_ma,skew_resid_sce_ma,skew_resid_ecb_ma,mode_skewness_resid_msc,mode_skewness_resid_sce,mode_skewness_resid_ecb,kurtosis_resid_msc,kurtosis_resid_sce,kurtosis_resid_ecb
1979m5,8.397284568108068,,,3.715345994803886,,,7,,,6.8715792,,,5.0423346,,,4.909122,,,5,,,.30630895,,,.22048402,,,.25320655,,,-.23341304,,,2.6798606,,,5.0490146,,,4.8976364,,,4.8115339,,,.83639467,,,.22980547,,,.23824807,,,-.25766745,,,2.6678531,,
1979m6,8.258469322964354,,,3.54216165291668,,,6,,,6.270237,,,5.1130948,,,5.0019202,,,5,,,,,,.16373517,,,.23847327,,,-.29384843,,,2.603199,,,5.0798111,,,4.9937205,,,5.2209883,,,.29164657,,,.1322621,,,.22194853,,,-.20486297,,,2.5933659,,
1979m7,8.539548031874991,,,3.769407572012831,,,8,,,7.6991858,,,5.3928313,,,5.082859,,,6,,,,,,.12862696,,,.20348917,,,-.19755487,,,2.4514883,,,5.3780375,,,5.0792165,,,5.8251319,,,.30455345,,,.10904416,,,.18613079,,,-.11806248,,,2.4330864,,
1979m8,8.275175158423542,,,3.531030669575979,,,7,,,6.9458556,,,5.3408327,,,5.169095,,,5,,,,,,.15095407,,,.18256673,,,-.30408666,,,2.4534454,,,5.2581501,,,5.1574869,,,5.2870731,,,.22743002,,,.10475034,,,.16269195,,,-.21828456,,,2.4497068,,
1979m9,7.80721233322585,,,3.019462746781753,,,6,,,6.4038806,,,5.0915275,,,5.2162695,,,5.5,,,,,,.16551757,,,.1605698,,,-.3914966,,,2.5484283,,,5.1366086,,,5.2099204,,,5.5371385,,,.26612797,,,.19473094,,,.14186262,,,-.30747539,,,2.5465767,,
1979m10,7.482564888918149,,,2.777019183892198,,,6,,,6.6528749,,,5.0061426,,,5.2282333,,,5,,,,,,.27824649,,,.12920628,,,-.48879835,,,2.6354053,,,5.0318561,,,5.2219191,,,5.472928,,,.23661424,,,.25311017,,,.10625935,,,-.3812879,,,2.6000648,,
1979m11,8.643028704166566,,,3.867316959413983,,,8,,,7.7786851,,,5.4103513,,,5.3616595,,,6,,,,,,.079871044,,,.078575023,,,-.23705006,,,2.4200008,,,5.4478779,,,5.3419161,,,6,,,.18942225,,,.055452734,,,.068526,,,-.15984793,,,2.374706,,
1979m12,8.11782655004124,,,3.503551141860495,,,6,,,6.7153482,,,5.358768,,,5.5079198,,,5.5,,,,,,.20006734,,,.012595729,,,-.32535049,,,2.5375738,,,5.3084435,,,5.4931765,,,5.3886051,,,.20216535,,,.15678345,,,.0023343463,,,-.22584191,,,2.5376687,,
1980m1,8.943271443091277,,,4.286483358805256,,,8,,,7.6450415,,,5.1905432,,,5.6559472,,,6,,,0,,,.057625521,,,-.0073789661,,,-.19035663,,,2.5646749,,,5.1994824,,,5.6430655,,,5.6183686,,,.27297714,,,.040824234,,,-.011536174,,,-.11484207,,,2.531956,,
1980m2,8.623033817409794,,,3.787351648161937,,,7,,,7.6502638,,,5.1500072,,,5.7809267,,,5,,,1.1702327,,,-.061787587,,,-.025387313,,,-.23948951,,,2.5420792,,,5.1570039,,,5.7610269,,,5.3648815,,,1.3084986,,,-.090624042,,,-.027272902,,,-.15114006,,,2.572161,,
1980m3,8.589937752641235,,,4.123032672668775,,,8,,,8.6245422,,,6.3139305,,,5.8828502,,,7,,,5.6262374,,,-.29194617,,,-.0458555,,,-.14313489,,,3.0297384,,,6.1597848,,,5.8614526,,,6.784462,,,2.7622671,,,-.20733802,,,-.049788006,,,-.046642806,,,2.6434107,,
1980m4,7.664421205989451,,,3.043068276450868,,,10,,,9.6502638,,,6.7091742,,,5.873982,,,7.5,,,4.8351779,,,-.46518672,,,-.029576384,,,-.31129637,,,3.6125355,,,6.7393789,,,5.8564687,,,7.2593737,,,5.2479668,,,-.48668069,,,-.02826751,,,-.24526964,,,3.6441181,,
1980m5,5.986123665277883,,,1.492721353738689,,,10,,,11.079499,,,6.67308,,,5.9001255,,,6.5,,,5.0953956,,,-.028818186,,,-.021370769,,,.96887761,,,3.0332861,,,6.607151,,,5.8878169,,,6.8141451,,,4.4579201,,,-.020084346,,,-.017576339,,,1.0695773,,,2.9901047,,
1980m6,5.96379438439727,,,1.082376041367298,,,10,,,9.7824335,,,6.2163415,,,5.9874349,,,6.5,,,4.2318826,,,.0034424467,,,-.023533503,,,1.0479882,,,3.022743,,,6.1982632,,,5.9782591,,,6.5,,,3.9272807,,,.053100392,,,-.021380397,,,1.0591804,,,3.0397775,,
1980m7,6.568842349989022,,,1.860782478253206,,,10,,,9.5794268,,,5.9234543,,,6.0610662,,,6,,,4.0320148,,,.094032802,,,-.025298869,,,1.0860565,,,2.9213831,,,5.9356885,,,6.0481434,,,6.1080465,,,3.5288963,,,.050474238,,,-.026984159,,,1.1736273,,,2.9129274,,
1980m8,6.547638738726587,,,1.831872178459117,,,7.5,,,7.8282599,,,5.3305402,,,6.0170836,,,6,,,2.3979158,,,.22638309,,,-.0035604928,,,-.61954999,,,2.6234014,,,5.4030209,,,6.0089302,,,5.7137375,,,2.0233371,,,.24913719,,,-.011647908,,,-.53156376,,,2.6154475,,
1980m9,7.198628872038992,,,2.510669242453766,,,7,,,7.5327754,,,5.5940604,,,5.914114,,,6.5,,,2.6352315,,,.27391788,,,-.005032171,,,-.48529956,,,2.61676,,,5.5905771,,,5.904644,,,6.2534871,,,1.6960278,,,.25300398,,,-.016858406,,,-.41077816,,,2.5692873,,
1980m10,6.805873401386972,,,2.130400109116857,,,7,,,8.112999,,,5.9763265,,,5.7950411,,,6.5,,,3.4599752,,,.038160913,,,.0051453696,,,-.4795084,,,2.9325495,,,6.013463,,,5.795867,,,6.2790117,,,3.4842601,,,.0065877154,,,-.0049009328,,,,,,2.9306536,,
1980m11,6.08005904014306,,,1.283824599209773,,,10,,,9.6471691,,,5.8126879,,,5.7436814,,,6,,,5.1291027,,,-.077675886,,,-.0081244409,,,1.0507233,,,3.4305358,,,5.7859631,,,5.7243538,,,5.9973888,,,4.3585253,,,-.14105789,,,-.0051720166,,,1.1448095,,,3.5629513,,
1980m12,7.230482369817191,,,2.631889853851816,,,8,,,8.2135544,,,5.918088,,,5.7534323,,,6.5,,,3.51595,,,-.096300781,,,-.014161118,,,-.43346745,,,2.7658889,,,5.8068652,,,5.7352862,,,6.4613142,,,3.0092781,,,-.069311768,,,-.014693988,,,-.33816278,,,2.7205133,,
1981m1,6.613091380779862,,,1.747063988871183,,,8,,,8.5183811,,,5.7824473,,,5.7924013,,,6,,,7.5107064,,,-.47843182,,,-.021746127,,,1.1860607,,,4.5748649,,,5.8008051,,,5.7625937,,,5.958703,,,5.3251677,,,-.53357518,,,-.042220626,,,-.48018458,,,4.7447271,,
1981m2,6.725837081633417,,,1.571493901966846,,,8,,,8.5366573,,,5.6014218,,,5.7983556,,,6,,,5.2153621,,,.06277968,,,-.064160772,,,1.174065,,,3.2084434,,,5.6281557,,,5.7641425,,,5.7821064,,,3.708534,,,.087532923,,,-.09275876,,,1.2195981,,,3.3896019,,
1981m3,5.916442517390301,,,1.132994909108334,,,10,,,8.9755392,,,5.7541046,,,5.7396688,,,5.5,,,4.1484365,,,-.11598585,,,-.039606906,,,1.0427339,,,3.4877684,,,5.554647,,,5.707458,,,5.4156775,,,3.2738905,,,.050660636,,,-.070030145,,,,,,3.0584233,,
1981m4,6.101361619356627,,,1.356264550785287,,,10,,,9.6915607,,,6.0112128,,,5.731472,,,6.5,,,4.3525214,,,.039702706,,,.01454524,,,1.076795,,,2.8403645,,,6.034081,,,5.7032251,,,6.3251319,,,3.918442,,,-.03522351,,,-.022446943,,,1.1544912,,,2.9266548,,
1981m5,6.024194682437836,,,1.281912290348596,,,10,,,8.8715792,,,5.6812634,,,5.7334042,,,5.5,,,3.8550112,,,.15811801,,,.085671939,,,1.0606309,,,3.3280933,,,5.648787,,,5.7028646,,,5.3251319,,,3.978828,,,.0013974652,,,.042186044,,,.26308498,,,3.3975773,,
1981m6,5.408362758440215,,,.6876499955649761,,,10,,,9.4785233,,,5.647646,,,5.7263575,,,5,,,5.9037738,,,-.10781394,,,.17572179,,,.97616661,,,4.1989694,,,5.6045156,,,5.6824822,,,5.2534871,,,5.1044602,,,-.20183925,,,.13259542,,,.95082784,,,4.3820906,,
1981m7,5.054697167808416,,,.4073978717568882,,,10,,,9.2485104,,,5.4481497,,,5.7394462,,,5,,,3.5,,,.25914571,,,.19842638,,,.91387278,,,3.1217296,,,5.503304,,,5.6891861,,,5.0716448,,,3.4619994,,,.21114525,,,.14733173,,,.98967403,,,3.0678933,,
1981m8,5.247710766185723,,,.7531301947687669,,,10,,,9.3438892,,,5.7389159,,,5.7987289,,,5,,,6.2435679,,,.40969345,,,.20961125,,,.93665195,,,3.8238571,,,5.7478647,,,5.7607999,,,5.3561068,,,4.3263044,,,.28719094,,,.1334769,,,1.0154433,,,3.9590209,,
1981m9,6.06967673856774,,,1.084068718968808,,,10,,,9.634491,,,5.9354773,,,5.7190504,,,6,,,3.7392704,,,.54383951,,,.22558612,,,1.0184598,,,2.8401978,,,5.8036237,,,5.6797075,,,5.4528046,,,2.6919794,,,.51238513,,,.15609913,,,,,,2.895457,,
1981m10,5.423801230024536,,,.8928283450117648,,,10,,,9.4243793,,,5.7190256,,,5.6907225,,,5,,,3.4323392,,,.33201689,,,.21201113,,,.98532474,,,3.1422124,,,5.6173635,,,5.6517615,,,5.2398891,,,3.2198954,,,.28010914,,,.15659414,,,,,,3.0950513,,
1981m11,5.799747104478971,,,1.137755238211923,,,10,,,9.5589905,,,5.7192183,,,5.6798882,,,5.5,,,2.9380865,,,.26712099,,,.25146535,,,1.0324194,,,2.8541999,,,5.6884894,,,5.6321301,,,5.284462,,,3.0206358,,,.22015974,,,.20458037,,,.22362362,,,2.8400137,,
1981m12,4.572727273261775,,,-.213995567824024,,,10,,,9.5069742,,,6.287652,,,5.7535262,,,5,,,4.5192122,,,-.015322071,,,.21374199,,,.76503885,,,3.5443025,,,6.1991711,,,5.6934032,,,5.1637383,,,4.9834318,,,-.074032784,,,.16552278,,,,,,3.6919754,,
1982m1,4.191951140369684,,,-.6290480114177732,,,7,,,7.2227888,,,5.2941046,,,5.7474494,,,5,,,6.4590788,,,.18347657,,,.22338784,,,.80554211,,,5.3507395,,,5.3042479,,,5.6784286,,,4.8766651,,,5.2518587,,,.16837655,,,.1931107,,,.88729537,,,5.4475617,,
1982m2,4.42083345992546,,,-.2831203938465626,,,9,,,8.729763,,,5.4263134,,,5.7395921,,,5,,,4.7250729,,,.035943042,,,.20047073,,,.81813806,,,4.1889353,,,5.3972754,,,5.6784191,,,4.972928,,,4.6941705,,,.0058525419,,,.17816302,,,.90769696,,,4.232089,,
1982m3,4.26256077797842,,,-.5638070289069856,,,8,,,7.3748045,,,5.5501361,,,5.685627,,,5,,,3.6340683,,,.24727413,,,.22260907,,,.79683369,,,4.1498032,,,5.4278302,,,5.6317616,,,5,,,3.7087936,,,.23003684,,,.2024477,,,.88555944,,,4.250062,,
1982m4,4.587476673254986,,,-.3838941047531788,,,8,,,7.8567104,,,6.1108942,,,5.6655493,,,5,,,4.5452762,,,-.080364548,,,.24605598,,,.70145488,,,4.4521646,,,6.0547652,,,5.5987391,,,5.1477957,,,4.7276278,,,-.14037302,,,.22026926,,,-.10529841,,,4.6430049,,
1982m5,3.389529104332169,,,-1.160501929685112,,,7,,,6.8567104,,,5.6842246,,,5.5611787,,,4.75,,,2.5855479,,,.49650607,,,.29818177,,,.63170785,,,3.6839733,,,5.6130934,,,5.5076942,,,4.9484673,,,2.7226307,,,.53548217,,,.2751576,,,.6938864,,,3.7248871,,
1982m6,4.753355703610165,,,-.0606678073070234,,,10,,,9.2955923,,,5.8647609,,,5.6205921,,,5,,,4.6935501,,,.33758551,,,.3021743,,,.84585297,,,4.1601987,,,5.803535,,,5.5602512,,,5,,,4.5632906,,,.37785608,,,.28028822,,,.92115641,,,4.3930082,,
1982m7,5.289473684210569,,,.506414865857382,,,8,,,8.2213154,,,5.2333388,,,5.6678867,,,5,,,4.0104032,,,.53126192,,,.30992338,,,,,,3.9808881,,,5.1974473,,,5.5945163,,,4.9283552,,,3.1565266,,,.49867123,,,.29562879,,,-.82847947,,,3.9570067,,
1982m8,5.384373412798136,,,.4321656779143267,,,9,,,8.3497362,,,5.538517,,,5.6341248,,,5,,,2.948272,,,.47814313,,,.32807863,,,1.004055,,,3.6858873,,,5.3912873,,,5.5541129,,,5.0260086,,,3.4757969,,,.38055378,,,.30599701,,,,,,3.7911131,,
1982m9,4.547377919553866,,,-.2936255387987743,,,7,,,7.1841865,,,5.3483181,,,5.474369,,,5,,,4.5779381,,,.45381013,,,.41713285,,,.85404855,,,4.6221728,,,5.3797646,,,5.4061961,,,4.9602504,,,4.1062522,,,.41996229,,,.40043241,,,,,,4.7302036,,
1982m10,4.654904911789587,,,-.155443958833901,,,9,,,8.7951107,,,5.8288274,,,5.4098186,,,5,,,4.449719,,,.21940921,,,.3929759,,,.79142767,,,4.1327343,,,5.7772632,,,5.346055,,,4.9873223,,,4.6080818,,,.21455196,,,.382368,,,.81280792,,,4.1622562,,
1982m11,4.168616365946269,,,-.4799113553505195,,,7,,,6.5930252,,,5.851965,,,5.3264899,,,5,,,4.9904523,,,.10568485,,,.35300782,,,.72274214,,,4.7485261,,,5.7056599,,,5.2746735,,,4.9602504,,,5.1007714,,,.14391766,,,.3363108,,,.68273038,,,4.8130636,,
1982m12,3.815787775652346,,,-1.054209665098882,,,6,,,6.0541439,,,5.2462759,,,5.2383494,,,4.5,,,3.4785814,,,.41067126,,,.39139396,,,.73505569,,,4.2960916,,,5.0641999,,,5.1912327,,,4.5642109,,,3.6949766,,,.32335088,,,.37171379,,,-.16832279,,,4.3377295,,
1983m1,3.217105263157912,,,-1.527872099081151,,,5,,,5.393055,,,4.6730952,,,5.1381845,,,3.5,,,3.2463765,,,.72112352,,,.33974582,,,.72159731,,,4.7705503,,,4.7235146,,,5.0967197,,,3.6477962,,,3.2361281,,,.70954549,,,.31558737,,,.8197974,,,4.718257,,
1983m2,3.016803141496887,,,-1.645677553834239,,,5,,,5.3528309,,,5.1032705,,,5.0074878,,,3.5,,,4.5134211,,,.27909347,,,.36902338,,,.61254132,,,5.475872,,,5.0718246,,,4.9647303,,,3.7878101,,,4.3401117,,,.37290257,,,.34710935,,,.70904791,,,5.412931,,
1983m3,2.305060232108671,,,-2.423820555795826,,,5,,,4.9201341,,,5.1148005,,,4.8893857,,,2.5,,,5.3424773,,,-.022126967,,,.42787269,,,.44213954,,,7.0721898,,,5.1610985,,,4.8550887,,,3.0320385,,,5.4975681,,,-.036658756,,,.40715763,,,.5249083,,,7.0882959,,
1983m4,3.194977427211123,,,-1.498769950388689,,,5,,,4.9458561,,,4.4400773,,,4.7622104,,,3.5,,,3.0130486,,,.87673694,,,.55708659,,,.74001288,,,5.8290172,,,4.4464803,,,4.7461824,,,3.5397496,,,3.1334548,,,.81729829,,,.52403539,,,-.33540457,,,5.7798529,,
1983m5,3.417185983410282,,,-1.472382375870211,,,5,,,5.4357867,,,4.6370311,,,4.6887083,,,3.5,,,5.6279378,,,.013310071,,,.62337995,,,.73824835,,,7.4696398,,,4.5406704,,,4.6930218,,,3.5397496,,,5.0766988,,,-.12458407,,,.59725106,,,.76486653,,,7.676815,,
1983m6,3.405432337575597,,,-1.427066789589317,,,5,,,5.3528314,,,4.1720467,,,4.7258806,,,3.5,,,2.0894473,,,.71730816,,,.63638961,,,.85276824,,,4.436471,,,4.1918621,,,4.7243042,,,3.6477962,,,2.4208884,,,.70366013,,,.60464656,,,.94065619,,,4.3383012,,
1983m7,3.815669178699251,,,-.9369942584861355,,,5,,,5.270237,,,4.7659111,,,4.6892385,,,4,,,3.5429339,,,.74905288,,,.67220479,,,.79685766,,,4.9593973,,,4.7904868,,,4.6829023,,,4.1106577,,,3.5385454,,,.75498658,,,.63060826,,,.88897794,,,4.9370685,,
1983m8,4.0589254766031,,,-.7863511918764057,,,5,,,5.0271955,,,4.7073851,,,4.6410599,,,4.5,,,4.6904159,,,1.26861,,,.71861351,,,.88536239,,,5.6815977,,,4.725503,,,4.6287003,,,4.0905457,,,2.6598637,,,1.1958175,,,.67521799,,,.32406583,,,5.5981421,,
1983m9,3.828966083938072,,,-.9642242500537856,,,5,,,5.3615098,,,4.5847554,,,4.6104984,,,4.5,,,3.4896672,,,1.0073115,,,.69472086,,,.85973853,,,4.4736824,,,4.5857549,,,4.5954151,,,4.3006711,,,2.5281699,,,.98229188,,,.64624172,,,-.27174568,,,4.5292287,,
1983m10,4.430967273643331,,,-.3704571445349837,,,7,,,6.4243798,,,5.0076485,,,4.5841484,,,5,,,4.5379958,,,.83821052,,,.78124851,,,.88675827,,,4.5999379,,,5.0050588,,,4.574439,,,4.8251319,,,3.2746437,,,.77610487,,,.73916239,,,.95821214,,,4.5443425,,
1983m11,3.952281552404598,,,-.8211857795706657,,,7,,,6.0354476,,,4.7734914,,,4.6379852,,,5,,,3.5204167,,,.60143024,,,.75283945,,,.87139487,,,4.7889962,,,4.6992054,,,4.6242428,,,4.7534871,,,3.1818371,,,.60655797,,,.70404011,,,-.21508002,,,4.8409843,,
1983m12,3.910988035958326,,,-.8896520766078837,,,6,,,5.4528022,,,4.6811914,,,4.656322,,,4.5,,,4.0340652,,,.39555132,,,.79837191,,,.8429122,,,5.0912261,,,4.6732812,,,4.6252866,,,4.4283552,,,3.9379504,,,.36482891,,,.75019437,,,,,,5.1947875,,
1984m1,4.033242336374996,,,-.7187910104919415,,,5,,,4.8594546,,,4.1650248,,,4.6488223,,,3.5,,,5.8195076,,,.66170323,,,.69522101,,,.91825658,,,6.3747916,,,4.1469131,,,4.6227927,,,3.6748681,,,4.115181,,,.55651176,,,.64919752,,,.94190818,,,6.5968566,,
1984m2,4.198059770168825,,,-.6194498716187427,,,4,,,4.5993443,,,4.3998833,,,4.6251793,,,3.5,,,6.2503333,,,.79205883,,,.68917215,,,.93631595,,,6.7531438,,,4.3518863,,,4.6029391,,,3.6374028,,,3.7419326,,,.71170175,,,.64328885,,,.95076531,,,6.4920912,,
1984m3,3.946187499486298,,,-.9499637322633334,,,6,,,5.0879345,,,4.6565781,,,4.5890069,,,4,,,5.4902511,,,.46162635,,,.72731489,,,.83163565,,,6.4043489,,,4.6400938,,,4.5554218,,,3.8831787,,,4.4913855,,,.38756001,,,.68322718,,,,,,6.7098312,,
1984m4,5.03534808453962,,,.1779833826817717,,,6,,,6.3528309,,,4.9309387,,,4.5461278,,,5,,,.57735026,,,1.1588454,,,.76698649,,,1.0314339,,,4.1241217,,,4.7998848,,,4.5216498,,,4.7170858,,,.32225582,,,1.1703745,,,.71688753,,,,,,4.251008,,
1984m5,3.93150684931505,,,-.8865905821971291,,,5,,,4.5558958,,,4.6398911,,,4.4758792,,,4,,,6.4807405,,,.34025192,,,.8909409,,,-.16383594,,,7.5683265,,,4.7030544,,,4.4568024,,,4.2965126,,,4.6949496,,,.28684586,,,.83999318,,,-1.127638,,,7.9074492,,
1984m6,4.794188017498731,,,.0957760349418991,,,5,,,5.7025671,,,4.3719683,,,4.4940572,,,5,,,1.6733201,,,.95287138,,,.90085816,,,,,,4.3239675,,,4.4070745,,,4.4530516,,,4.7121897,,,1.3192869,,,.92911428,,,.83902597,,,.066799849,,,4.1554289,,
1984m7,4.151259117040788,,,-.7384711785371967,,,4,,,4.7091184,,,4.6820946,,,4.5513105,,,3.5,,,4.6117086,,,1.1814954,,,.90620631,,,.90268797,,,5.7377729,,,4.5774026,,,4.5023193,,,3.6248827,,,2.8447311,,,1.1355494,,,.88682854,,,-.092098013,,,5.8115978,,
1984m8,3.935415697035229,,,-.8730302303116547,,,5,,,4.7824335,,,4.387579,,,4.5585446,,,3.5,,,5.8013411,,,.95847428,,,.88257772,,,.84065205,,,7.9385686,,,4.395256,,,4.5112038,,,3.3225207,,,3.6056268,,,.90950131,,,.86705971,,,.94127023,,,8.0277805,,
1984m9,3.548922056384752,,,-1.184969597226764,,,4,,,4.5710511,,,4.048955,,,4.4854937,,,3.5,,,2.1671245,,,1.5111415,,,.8697052,,,.91522926,,,6.4326701,,,4.0896578,,,4.4534631,,,3.5010638,,,1.3603358,,,1.4727796,,,.85639238,,,.93277538,,,6.2182002,,
1984m10,4.108587421333986,,,-.8307003720579462,,,5,,,5,,,4.3286285,,,4.4207697,,,3.5,,,5.7310071,,,.75095809,,,.90522099,,,,,,6.7596025,,,4.1131558,,,4.3878036,,,3.5905457,,,3.1475251,,,.54780722,,,.89697117,,,-.2062041,,,6.9583063,,
