date,skew_lt_sce,skew_resid_lt_sce,skew_lt_sce_ma,skew_resid_lt_sce_ma
2022m6,.065394096,-.098098487,-.25393093,-.40410504
2022m7,-.30883819,-.46246326,-.24248038,-.37892547
2022m8,-.1056166,-.26178935,-.2714102,-.41373011
2022m9,-.16459836,-.24452178,-.26587346,-.40714979
2022m10,-.41577837,-.58083367,-.31620166,-.4531585
2022m11,-.64998281,-.70402282,-.40068012,-.53406858
2022m12,-.46450564,-.67706633,-.41660252,-.55838215
2023m1,-.25872347,-.4005087,-.43111086,-.5752663
2023m2,-.54316568,-.64912212,-.41099384,-.57217938
2023m3,-.69491208,-.8262893,-.39766961,-.56813252
2023m4,-.45213968,-.68128508,-.36088428,-.55652213
2023m5,-.23619153,-.41374695,-.34793159,-.54145414
2023m6,.016454643,-.21673934,-.3606756,-.56158918
2023m7,-.29586023,-.54441184,-.3302606,-.54700035
2023m8,-.31891474,-.59952956,-.2573303,-.49114257
2023m9,,,,
2023m10,,,,
2023m11,,,,
2023m12,,,,
2024m1,,,,
2024m2,,,,
2024m3,,,,
