date,mean_fcast_msc,med_fcast_msc
2000m8,3.325420375865493,3
2000m9,3.560247167868171,3
2000m10,4.205257836198165,3
2000m11,3.498953974895384,3
2000m12,3.375232774674122,3
2001m1,4.090521831735913,3
2001m2,2.802863436123361,3
2001m3,3.06960784313727,3
2001m4,3.553446553446544,3
2001m5,4.094594594594584,3
2001m6,4.055036344755984,3
2001m7,2.610483042137727,2
2001m8,2.847953216374284,3
2001m9,2.896273917421953,3
2001m10,1.272017837235234,0
2001m11,.7910602910602905,0
2001m12,1.622087132725427,2
2002m1,2.234756097560986,1
2002m2,2.159375000000004,2
2002m3,3.077094972067025,2
2002m4,2.979851537645802,3
2002m5,3.224858757062151,3
2002m6,2.669632925472754,3
2002m7,2.777777777777787,3
2002m8,2.645374449339213,2
2002m9,3.085805084745751,3
2002m10,2.694282380396737,3
2002m11,2.427299703264102,2
2002m12,2.491335372069326,2
2003m1,2.497542997542995,2
2003m2,3.21298174442189,3
2003m3,3.867678958785265,3
2003m4,2.69382022471909,3
2003m5,2.524429967426718,2
2003m6,2.657579062159232,2
2003m7,2.018501387604076,1
2003m8,2.782383419689121,2
2003m9,2.87410440122824,3
2003m10,3.132706374085695,2
2003m11,2.835010060362161,2
2003m12,2.837944664031624,3
2004m1,2.721703011422627,3
2004m2,3.058201058201044,3
2004m3,3.424657534246562,3
2004m4,4.03125,3
2004m5,4.029319371727751,3
2004m6,3.935194416749733,3
2004m7,3.716433941997844,3
2004m8,3.030332681017623,3
2004m9,3.150170648464156,3
2004m10,3.62774451097803,3
2004m11,3.470297029702952,3
2004m12,3.403275332650985,3
2005m1,3.358078602620104,3
2005m2,3.416851441241675,3
2005m3,3.713227513227504,3
2005m4,4.286028602860283,3
2005m5,3.653637350705736,3
2005m6,3.868312757201666,3
2005m7,3.391865079365068,3
2005m8,3.784023668639064,3
2005m9,5.380861244019121,4
2005m10,5.094069529652347,5
2005m11,4.174338883447595,3
2005m12,4.027384324834759,3
2006m1,3.740634005763695,3
2006m2,3.963114754098348,3
2006m3,3.825865580448066,3
2006m4,4.447198275862086,3
2006m5,5.071574642126756,4
2006m6,4.005529953917051,3
2006m7,3.779411764705863,3
2006m8,4.556766575840134,4
2006m9,3.455502392344473,3
2006m10,3.721482889733829,3
2006m11,3.368213228035531,3
2006m12,3.812617702448193,3
2007m1,4.072886297376069,3
2007m2,3.689981096408336,3
2007m3,3.49770009199631,3
2007m4,4.076402321083158,3
2007m5,4.238670694864039,3
2007m6,4.092651757188492,3
2007m7,4.240574506283662,3
2007m8,3.993782383419676,3
2007m9,3.869261477045918,3
2007m10,3.637637637637652,3
2007m11,4.84446764091856,4
2007m12,4.339756592292108,3
2008m1,4.066974595842934,3
2008m2,3.844629822732025,4
2008m3,4.901222953904064,5
2008m4,5.757000000000001,5
2008m5,6.829637096774166,5
2008m6,6.618126272912393,5
2008m7,6.825490196078415,5
2008m8,5.341692789968648,5
2008m9,5.047518479408631,5
2008m10,3.720574162679435,3.5
