date,mean_fcast_msc,mean_fcast_sce,mean_fcast_ecb,mean_resid_msc,mean_resid_sce,mean_resid_ecb,med_fcast_msc,med_fcast_sce,med_fcast_ecb,med_resid_msc,med_resid_sce,med_resid_ecb,iqr_msc,iqr_sce,iqr_ecb,iqr_resid_msc,iqr_resid_sce,iqr_resid_ecb,st_dev_msc,st_dev_sce,st_dev_ecb,st_dev_msc_ma,st_dev_sce_ma,st_dev_ecb_ma,quasi_st_dev_msc,quasi_st_dev_sce,quasi_st_dev_ecb,st_dev_trim_msc,st_dev_trim_sce,st_dev_trim_ecb,skew_msc,skew_sce,skew_ecb,skew_msc_ma,skew_sce_ma,skew_ecb_ma,mode_skewness_msc,mode_skewness_sce,mode_skewness_ecb,kurtosis_msc,kurtosis_sce,kurtosis_ecb,st_dev_resid_msc,st_dev_resid_sce,st_dev_resid_ecb,st_dev_resid_msc_ma,st_dev_resid_sce_ma,st_dev_resid_ecb_ma,quasi_st_dev_resid_msc,quasi_st_dev_resid_sce,quasi_st_dev_resid_ecb,st_dev_trim_resid_msc,st_dev_trim_resid_sce,st_dev_trim_resid_ecb,skew_resid_msc,skew_resid_sce,skew_resid_ecb,skew_resid_msc_ma,skew_resid_sce_ma,skew_resid_ecb_ma,mode_skewness_resid_msc,mode_skewness_resid_sce,mode_skewness_resid_ecb,kurtosis_resid_msc,kurtosis_resid_sce,kurtosis_resid_ecb,mean_fcast_lt_msc,mean_fcast_lt_sce,mean_fcast_lt_ecb,mean_resid_lt_msc,mean_resid_lt_sce,mean_resid_lt_ecb,med_fcast_lt_msc,med_fcast_lt_sce,med_fcast_lt_ecb,med_resid_lt_msc,med_resid_lt_sce,med_resid_lt_ecb,iqr_lt_msc,iqr_lt_sce,iqr_lt_ecb,iqr_resid_lt_msc,iqr_resid_lt_sce,iqr_resid_lt_ecb,st_dev_lt_msc,st_dev_lt_sce,st_dev_lt_ecb,st_dev_lt_msc_ma,st_dev_lt_sce_ma,st_dev_lt_ecb_ma,quasi_st_dev_lt_msc,quasi_st_dev_lt_sce,quasi_st_dev_lt_ecb,st_dev_trim_lt_msc,st_dev_trim_lt_sce,st_dev_trim_lt_ecb,skew_lt_msc,skew_lt_sce,skew_lt_ecb,skew_lt_msc_ma,skew_lt_sce_ma,skew_lt_ecb_ma,mode_skewness_lt_msc,mode_skewness_lt_sce,mode_skewness_lt_ecb,kurtosis_lt_msc,kurtosis_lt_sce,kurtosis_lt_ecb,st_dev_resid_lt_msc,st_dev_resid_lt_sce,st_dev_resid_lt_ecb,st_dev_resid_lt_msc_ma,st_dev_resid_lt_sce_ma,st_dev_resid_lt_ecb_ma,quasi_st_dev_resid_lt_msc,quasi_st_dev_resid_lt_sce,quasi_st_dev_resid_lt_ecb,st_dev_trim_resid_lt_msc,st_dev_trim_resid_lt_sce,st_dev_trim_resid_lt_ecb,skew_resid_lt_msc,skew_resid_lt_sce,skew_resid_lt_ecb,skew_resid_lt_msc_ma,skew_resid_lt_sce_ma,skew_resid_lt_ecb_ma,mode_skewness_resid_lt_msc,mode_skewness_resid_lt_sce,mode_skewness_resid_lt_ecb,kurtosis_resid_lt_msc,kurtosis_resid_lt_sce,kurtosis_resid_lt_ecb
1978m1,4.96987614833171,,,.3076915637609066,,,5,,,.1485991,,,4,,,4.7848034,,,3.9173925,,,4.34445,,,4.5,,,,,,.88469291,,,.82457286,,,.092128195,,,4.3323922,,,3.9260035,,,4.3447657,,,4.2925797,,,.21121052,,,.86907166,,,.79394889,,,-1.0671458,,,4.2895074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978m2,6.033030727609065,,,1.159252345134372,,,5,,,.65294468,,,6,,,6.459281,,,4.6166449,,,4.3426127,,,4,,,,,,.87288046,,,.79138637,,,.28392854,,,3.7553327,,,4.575067,,,4.3401055,,,4.2263045,,,.21696419,,,.83037525,,,.75861329,,,.38248754,,,3.6992295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978m3,5.747969788788389,,,1.00877893622036,,,5,,,.41160801,,,6,,,6.3330045,,,4.3726387,,,4.3223543,,,4.5,,,,,,.88555455,,,.74737829,,,.18687421,,,4.0507789,,,4.410532,,,4.3215814,,,4.3417497,,,.19683817,,,.84212053,,,.71451128,,,,,,3.8852835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978m4,6.304524643895968,,,1.491348298299074,,,6,,,1.411608,,,6,,,5.8052311,,,4.0475073,,,4.3720975,,,4,,,0,,,.77309525,,,.70175654,,,.33306089,,,4.2149034,,,4.0777283,,,4.3652282,,,3.7327776,,,.42243585,,,.74791259,,,.66842204,,,.43617514,,,4.0998363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978m5,6.207582523510395,,,1.413292879409955,,,6,,,1.1936637,,,7,,,6.7421598,,,4.7680664,,,4.3931341,,,4.5,,,,,,.70664114,,,.69672883,,,-.73089039,,,3.3335843,,,4.7344971,,,4.3911099,,,4.4499526,,,.22539908,,,.68026429,,,.66454613,,,-.65081757,,,3.2834568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978m6,6.182596663020243,,,1.680893761281937,,,6,,,1.7281088,,,7,,,5.7762623,,,4.3334265,,,4.425478,,,4,,,0,,,.62545401,,,.64241719,,,.38345686,,,3.5200577,,,4.3168054,,,4.4268088,,,3.9262424,,,.3963829,,,.58193529,,,.61051595,,,,,,3.3685644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978m7,6.087994664997521,,,1.354705314246786,,,6,,,1.7854949,,,7,,,6.6669955,,,4.2008047,,,4.3980436,,,4,,,,,,.48332974,,,.59014446,,,.32246724,,,3.274734,,,4.2104349,,,4.4101791,,,4.2754745,,,.28918111,,,.44989941,,,.56111097,,,.42260948,,,3.1883221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978m8,7.185429221930725,,,2.230703623607205,,,7,,,2.493444,,,6,,,6.0751638,,,4.7202978,,,4.3640079,,,4,,,,,,.38240409,,,.54714662,,,-.55973727,,,2.9928088,,,4.6707559,,,4.3788605,,,4.1665025,,,.27979782,,,.34579742,,,.52182782,,,-.55002338,,,2.9756217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978m9,6.302608173285503,,,1.524999133034378,,,6,,,1.2605346,,,7,,,6.666995,,,4.561429,,,4.3777251,,,4.5,,,,,,.65650749,,,.50689673,,,.29850116,,,3.4008884,,,4.5981674,,,4.3887787,,,4.60149,,,.22876455,,,.63353872,,,.48319131,,,-.69327688,,,3.2791333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978m10,6.882738214902383,,,2.128577860454697,,,7,,,1.9460531,,,6,,,5.7421594,,,4.208487,,,4.3681507,,,4,,,,,,.39588824,,,.47223973,,,-.79975814,,,3.2670331,,,4.2472897,,,4.3825502,,,4.1465545,,,.28848484,,,.38280022,,,.44955415,,,-.68092871,,,3.2107151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
