date,mean_fcast_lt_msc,med_fcast_lt_msc
2004m11,3.122470713525019,3
2004m12,3.38084874863981,3
2005m1,3.057043073341104,3
2005m2,3.367224880382766,3
2005m3,3.290076335877869,3
2005m4,3.45714285714288,3
2005m5,3.385135135135126,3
2005m6,3.217112299465245,3
2005m7,3.059637912673075,3
2005m8,2.95771670190276,3
2005m9,3.889212827988332,3
2005m10,3.765864332603913,3
2005m11,3.154162384378203,3
2005m12,3.552000000000015,3
2006m1,3.353658536585379,3
2006m2,3.634615384615366,3
2006m3,3.316122233930435,3
2006m4,3.728423475258896,3
2006m5,4.190880169671258,3
2006m6,3.578694817658373,3
2006m7,3.297895902547079,3
2006m8,3.457692307692325,3
2006m9,3.214428857715436,3
2006m10,3.43968095712862,3
2006m11,3.491299897645839,3
2006m12,3.57086999022485,3
2007m1,3.855809128630681,3
2007m2,3.35404339250491,3
2007m3,3.360531309297924,3
2007m4,3.587639311043547,3
2007m5,3.527291452111204,3
2007m6,3.180778032036632,3
2007m7,3.740172579098733,3
2007m8,3.510182207931396,3
2007m9,3.483904465212868,3
2007m10,3.252092050209198,3
2007m11,3.576122672508202,3
2007m12,3.565591397849485,3
2008m1,3.709134615384634,3
2008m2,3.237885462555055,3
2008m3,3.459459459459473,3
2008m4,3.655355249204686,3
2008m5,4.101765316718578,3
2008m6,4.184631803628585,3
2008m7,3.597294484911564,3
2008m8,4.143013100436661,3
2008m9,3.550930996714109,3
2008m10,3.077001013171214,3
2008m11,3.28048780487803,3
2008m12,2.485714285714275,3
2009m1,3.478494623655927,3
2009m2,3.355578727841484,3
2009m3,2.823469387755114,3
2009m4,3.264826175869105,3
2009m5,3.020408163265302,3
2009m6,3.523659305993677,3
2009m7,3.358546168958727,3
2009m8,2.932509505703401,3
2009m9,3.28401727861773,3
2009m10,3.246168582375495,3
2009m11,3.381372549019603,3
2009m12,2.994180407371468,3
2010m1,3.495005549389581,3
2010m2,3.354000000000016,3
2010m3,2.871124031007752,3
2010m4,3.347965738758034,3
2010m5,3.292260692464341,3
2010m6,3.021829521829536,3
2010m7,3.357997823721453,3
2010m8,3.21384928716906,3
2010m9,3.311608961303471,3
2010m10,3.064833005893896,3
2010m11,3.148148148148152,3
2010m12,3.424564796905208,3
2011m1,3.300632911392419,3
2011m2,3.257142857142865,3
2011m3,3.497916666666673,3
2011m4,3.268627450980381,3
2011m5,3.337777777777774,3
2011m6,3.519343493552154,3
2011m7,3.47552447552448,3
2011m8,3.719822812846049,3
2011m9,3.144152311876715,3
2011m10,2.883505154639162,3
2011m11,3.244721689059483,3
2011m12,3.252906976744182,3
2012m1,3.177999999999998,3
2012m2,3.218888888888876,3
2012m3,3.808807733619776,3
2012m4,3.591295116772815,3
2012m5,3.004329004328989,3
2012m6,3.209429824561417,3
2012m7,3.129953917050678,3
2012m8,2.990757855822531,3
2012m9,3.018744142455488,3
2012m10,3.100089365504914,3
2012m11,3.321899736147768,3
2012m12,3.163052905464016,3
2013m1,3.682395644283131,3
2013m2,3.608040201005005,3
2013m3,3.440952380952362,3
2013m4,3.410958904109605,3
2013m5,3.520037278657952,3
2013m6,3.623955431754888,3
2013m7,3.252189141856408,3
2013m8,3.509859154929584,3
2013m9,3.657091561938973,3
2013m10,3.302841918294834,3
2013m11,3.625794732061745,3
2013m12,3.525991189427284,3
2014m1,3.289211242067067,3
2014m2,3.686395759717322,3
2014m3,3.46397466349959,3
2014m4,3.736666666666677,3
2014m5,3.546656298600289,3
2014m6,3.414068745003989,3
2014m7,3.339534883720942,3
2014m8,3.320331950207453,3
2014m9,3.277876106194668,3
2014m10,3.069603524229054,3
2014m11,2.944639718804897,3
2014m12,3.227504244482158,3
2015m1,3.224052718286657,3
2015m2,3.247078464106836,3
2015m3,3.337579617834415,3
2015m4,3.151898734177196,3
2015m5,3.296685529506846,3
2015m6,3.151294498381867,3
2015m7,3.488636363636369,3
2015m8,3.150929368029749,3
2015m9,3.055921052631567,3
2015m10,3.104852686308503,3
2015m11,3,3
2015m12,2.924428822495624,3
2016m1,3.415159345391891,3
2016m2,2.945705024311199,3
2016m3,3.229665071770341,3
2016m4,2.903147699757853,2
2016m5,2.882266372332623,2
2016m6,2.672442244224413,2
2016m7,3.152799999999984,3
2016m8,2.982677165354313,3
2016m9,2.815138282387211,3
2016m10,2.912663755458532,2
2016m11,2.959450171821324,3
2016m12,2.630191166776519,2
2017m1,2.548122866894208,3
2017m2,2.63997308209958,3
2017m3,2.717579250720435,2
2017m4,2.765625,2
2017m5,2.69049271339349,2
2017m6,3.090070921985815,3
2017m7,2.807158509861211,3
2017m8,2.701264138389888,3
2017m9,3.339019189765466,3
2017m10,2.849143610013157,2
2017m11,2.753623188405781,2.5
2017m12,2.964714714714694,2
2018m1,2.519701086956509,3
2018m2,2.828114126652737,3
2018m3,3.05474705474707,2
2018m4,2.974656046343251,2
2018m5,2.933471933471913,3
2018m6,3.034366576819387,3
2018m7,2.847625797306847,2
2018m8,3.179526355996943,3
2018m9,2.979381443298962,2
2018m10,2.806002928257703,2
2018m11,2.785318559556798,3
2018m12,2.93210749646392,3
2019m1,2.857938718662944,3
2019m2,2.847144006436026,2
2019m3,2.754273504273528,3
2019m4,2.738372093023258,2
2019m5,2.957708049113223,3
2019m6,2.744283995186514,2
2019m7,3.011678832116786,3
2019m8,2.704402515723253,3
2019m9,2.838246409674983,2
2019m10,2.685620915032687,2
2019m11,3.03566958698373,3
2019m12,2.656192236598907,2
2020m1,2.782469609724886,2
2020m2,2.59208819714658,2
2020m3,2.58787878787879,2
2020m4,2.786159169550165,2
2020m5,2.89104788341431,3
2020m6,2.570703408266839,2
2020m7,2.766002844950208,3
2020m8,3.010149253731333,3
2020m9,2.84925690021234,3
2020m10,2.639355742296943,2
2020m11,2.87591240875915,2
2020m12,3.104367135455199,3
2021m1,3.167776298268995,3
2021m2,3.241477272727257,3
2021m3,3.339350180505413,3
2021m4,3.12010981468771,3
2021m5,3.465589887640452,3
2021m6,3.104181431608803,3
2021m7,3.226705796038153,3
2021m8,3.878871300757055,3
2021m9,3.429166666666649,3
2021m10,3.19345661450925,3
2021m11,3.450109249817916,3
2021m12,3.650406504065053,3
2022m1,3.503424657534218,3
2022m2,3.457964601769913,3
2022m3,3.368647100930575,3
2022m4,3.020523708421804,3
2022m5,3.119708029197083,3
2022m6,2.752547307132439,3
2022m7,2.787500000000016,3
2022m8,2.727759197324415,3
2022m9,2.845018450184506,3
2022m10,2.98425196850394,3
2022m11,2.977747808496281,3
2022m12,3.139747191011242,3
2023m1,2.874125874125868,3
2023m2,3.282828282828269,3
2023m3,2.798920377867737,3
2023m4,3.007862759113652,3
2023m5,3.123595505617987,3
2023m6,3.402533427163938,3
2023m7,3.415121255349504,3
2023m8,2.947154471544739,3
2023m9,2.925311203319527,3
2023m10,3.291008922443347,3
2023m11,3.365176151761506,3
2023m12,3.030470914127437,3
2024m1,2.951733514615878,3
2024m2,3.136302294197023,3
2024m3,3.034075104311563,3
2024m4,3.258109040717728,3
2024m5,3.31148064195841,3
2024m6,3.753136435580519,3
2024m7,1.688888889183233,1.5
2024m8,7.803921638903336,10
