date,mean_fcast_msc,mean_fcast_sce,mean_fcast_ecb,mean_resid_msc,mean_resid_power_msc,mean_resid_sce,mean_resid_ecb,med_fcast_msc,med_fcast_sce,med_fcast_ecb,med_resid_msc,med_resid_power_msc,med_resid_sce,med_resid_ecb,iqr_msc,iqr_sce,iqr_ecb,iqr_resid_msc,iqr_resid_power_msc,iqr_resid_sce,iqr_resid_ecb,st_dev_msc,st_dev_sce,st_dev_ecb,st_dev_msc_ma,st_dev_sce_ma,st_dev_ecb_ma,quasi_st_dev_msc,quasi_st_dev_sce,quasi_st_dev_ecb,st_dev_trim_msc,st_dev_trim_sce,st_dev_trim_ecb,skew_msc,skew_sce,skew_ecb,skew_msc_ma,skew_sce_ma,skew_ecb_ma,mode_skewness_msc,mode_skewness_sce,mode_skewness_ecb,kurtosis_msc,kurtosis_sce,kurtosis_ecb,st_dev_resid_msc,st_dev_resid_power_msc,st_dev_resid_sce,st_dev_resid_ecb,st_dev_resid_msc_ma,st_dev_resid_power_msc_ma,st_dev_resid_sce_ma,st_dev_resid_ecb_ma,quasi_st_dev_resid_msc,quasi_st_dev_resid_power_msc,quasi_st_dev_resid_sce,quasi_st_dev_resid_ecb,st_dev_trim_resid_msc,st_dev_trim_resid_power_msc,st_dev_trim_resid_sce,st_dev_trim_resid_ecb,skew_resid_msc,skew_resid_power_msc,skew_resid_sce,skew_resid_ecb,skew_resid_msc_ma,skew_resid_power_msc_ma,skew_resid_sce_ma,skew_resid_ecb_ma,mode_skewness_resid_msc,mode_skewness_resid_power_msc,mode_skewness_resid_sce,mode_skewness_resid_ecb,kurtosis_resid_msc,kurtosis_resid_power_msc,kurtosis_resid_sce,kurtosis_resid_ecb,mean_fcast_lt_msc,mean_fcast_lt_sce,mean_fcast_lt_ecb,mean_resid_lt_msc,mean_resid_lt_power_msc,mean_resid_lt_sce,mean_resid_lt_ecb,med_fcast_lt_msc,med_fcast_lt_sce,med_fcast_lt_ecb,med_resid_lt_msc,med_resid_lt_power_msc,med_resid_lt_sce,med_resid_lt_ecb,iqr_lt_msc,iqr_lt_sce,iqr_lt_ecb,iqr_resid_lt_msc,iqr_resid_lt_power_msc,iqr_resid_lt_sce,iqr_resid_lt_ecb,st_dev_lt_msc,st_dev_lt_sce,st_dev_lt_ecb,st_dev_lt_msc_ma,st_dev_lt_sce_ma,st_dev_lt_ecb_ma,quasi_st_dev_lt_msc,quasi_st_dev_lt_sce,quasi_st_dev_lt_ecb,st_dev_trim_lt_msc,st_dev_trim_lt_sce,st_dev_trim_lt_ecb,skew_lt_msc,skew_lt_sce,skew_lt_ecb,skew_lt_msc_ma,skew_lt_sce_ma,skew_lt_ecb_ma,mode_skewness_lt_msc,mode_skewness_lt_sce,mode_skewness_lt_ecb,kurtosis_lt_msc,kurtosis_lt_sce,kurtosis_lt_ecb,st_dev_resid_lt_msc,st_dev_resid_lt_power_msc,st_dev_resid_lt_sce,st_dev_resid_lt_ecb,st_dev_resid_lt_msc_ma,st_dev_resid_lt_power_msc_ma,st_dev_resid_lt_sce_ma,st_dev_resid_lt_ecb_ma,quasi_st_dev_resid_lt_msc,quasi_st_dev_resid_lt_power_msc,quasi_st_dev_resid_lt_sce,quasi_st_dev_resid_lt_ecb,st_dev_trim_resid_lt_msc,st_dev_trim_resid_lt_power_msc,st_dev_trim_resid_lt_sce,st_dev_trim_resid_lt_ecb,skew_resid_lt_msc,skew_resid_lt_power_msc,skew_resid_lt_sce,skew_resid_lt_ecb,skew_resid_lt_msc_ma,skew_resid_lt_power_msc_ma,skew_resid_lt_sce_ma,skew_resid_lt_ecb_ma,mode_skewness_resid_lt_msc,mode_skewness_resid_lt_power_msc,mode_skewness_resid_lt_sce,mode_skewness_resid_lt_ecb,kurtosis_resid_lt_msc,kurtosis_resid_lt_power_msc,kurtosis_resid_lt_sce,kurtosis_resid_lt_ecb
1978m11,6.817189312984796,,,2.111345945637358,,,,7,,,2.2289717,,,,5,,,5.4228039,,,,4.3697357,,,4.3958421,,,3.5,,,,,,.40242577,,,.44589698,,,-.6841566,,,3.397285,,,4.4222579,,,,4.4131021,,,,3.9220238,,,,.26502326,,,,.3868016,,,,.42713183,,,,-.55056703,,,,3.3452852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978m12,6.837222787092261,,,2.117150486863838,,,,7,,,2.1375279,,,,5,,,5.3545012,,,,4.0663176,,,4.4586382,,,3.5,,,0,,,.49857405,,,.42059344,,,-.7464211,,,3.8108368,,,4.1263847,,,,4.4704924,,,,3.7083223,,,,.53248835,,,,.48895714,,,,.40267545,,,,,,,,3.6986444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979m1,7.265500547681682,,,2.669777377446292,,,,7,,,2.7830269,,,,5,,,5.0914435,,,,4.1709595,,,4.4944201,,,3.5,,,.44594848,,,.4108462,,,.40260231,,,-.55723566,,,3.6608963,,,4.1666164,,,,4.5123615,,,,3.5197465,,,,.81091219,,,,.40205589,,,,.38967803,,,,-.44408956,,,,3.5890524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979m2,7.643034633996634,,,3.080932218285509,,,,8,,,3.4525356,,,,5,,,5.2174053,,,,4.6818991,,,4.555716,,,4,,,0,,,.39472792,,,.34784985,,,-.45735809,,,3.2587998,,,4.677218,,,,4.5655751,,,,4.1329913,,,,.42509595,,,,.37902567,,,,.33393472,,,,-.34352803,,,,3.2852306,,,,6.916737468942071,,,2.844036642722166,,,,7,,,2.9132628,,,,5,,,5.0798187,,,,4.1788797,,,4.1788797,,,3.5,,,0,,,.48721683,,,.48721683,,,.51545286,,,3.6488283,,,4.187181,,,,4.187181,,,,3.5916624,,,,.47014904,,,,.40834257,,,,.40834257,,,,-.54191494,,,,3.554172,,,
1979m3,7.802454271342262,,,2.986042019132181,,,,8,,,3.2725732,,,,5,,,5.7757449,,,,4.5826473,,,4.6873102,,,4.5,,,.50036269,,,.38836926,,,.31815413,,,-.44774106,,,3.1141329,,,4.6015615,,,,4.6910996,,,,4.5197468,,,,.61189926,,,,.36848328,,,,.30343899,,,,.73283201,,,,3.0155609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979m4,8.330238799455101,,,3.357356806476979,,,,9,,,4.2058306,,,,6,,,5.8378887,,,,4.7659707,,,4.7952099,,,5,,,0,,,.25559789,,,.29021284,,,-.3596929,,,2.8286877,,,4.7263384,,,,4.7837634,,,,4.7451186,,,,.53196251,,,,.22945948,,,,.27213153,,,,-.27682653,,,,2.8112867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979m5,8.397284568108068,,,3.719348173597969,,,,10,,,4.7830267,,,,7,,,6.8069191,,,,5.0423346,,,4.909122,,,5,,,.30630895,,,.22048402,,,.25320655,,,-.23341304,,,2.6798606,,,5.0453601,,,,4.8957148,,,,4.7859535,,,,.83084863,,,,.23196335,,,,.23934677,,,,-.24905625,,,,2.6716247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979m6,8.258469322964354,,,3.549044868287937,,,,10,,,4.7830267,,,,6,,,6.2235641,,,,5.1130948,,,5.0019202,,,5,,,,,,.16373517,,,.23847327,,,-.29384843,,,2.603199,,,5.0778971,,,,4.9914646,,,,5.1990514,,,,.28539333,,,,.13380209,,,,.22284262,,,,-.20427829,,,,2.595468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979m7,8.539548031874991,,,3.775720822343729,,,,10,,,4.8168325,,,,8,,,7.7138014,,,,5.3928313,,,5.082859,,,6,,,,,,.12862696,,,.20348917,,,-.19755487,,,2.4514883,,,5.3762612,,,,5.0768023,,,,5.8227496,,,,.29868069,,,,.11040249,,,,.18690734,,,,-.11727096,,,,2.4347343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979m8,8.275175158423542,,,3.53841139391111,,,,10,,,4.7830267,,,,7,,,6.908556,,,,5.3408327,,,5.169095,,,5,,,,,,.15095407,,,.18256673,,,-.30408666,,,2.4534454,,,5.2562351,,,,5.1550441,,,,5.2548809,,,,.22154158,,,,.10503446,,,,.16376196,,,,-.21723102,,,,2.4508948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
