date,skew_ecb,skew_resid_ecb,skew_ecb_ma,skew_resid_ecb_ma
2020m1,,,,
2020m2,,,,
2020m3,,,,
2020m4,.47890687,.36112922,.60682821,.55750602
2020m5,.58603317,.51956475,.58285558,.52695721
2020m6,.80940515,.73125279,.62259156,.56287444
2020m7,.43972895,.41313681,.59996819,.53927195
2020m8,.72006679,.76244664,.61804247,.56135893
2020m9,.46299267,.37421295,.62297285,.57097471
2020m10,.86100733,.77837801,.63974106,.59410161
2020m11,.44160452,.37405461,.57559705,.53431284
2020m12,.7626366,.73805445,.5454843,.51403791
2021m1,.52328032,.44767138,.46770617,.42708951
2021m2,.73694724,.72770685,.52602196,.49184823
2021m3,.23210926,.19315378,.52616489,.49321529
2021m4,.16871424,.23066255,.56414449,.52928394
2021m5,.020063307,-.020088881,.54223061,.50154757
2021m6,.98783475,.95704132,.58736658,.55189222
2021m7,.86229372,.7906816,.58975428,.55079007
2021m8,.78342086,.69867235,.62779784,.58355838
2021m9,.56541163,.48842698,.67616475,.62087399
2021m10,.92950445,.90077317,.7726748,.71846038
2021m11,.75843614,.7177875,.72733176,.67040211
2021m12,.5745014,.48806894,.64191234,.57255036
2022m1,.60401636,.56650311,.54834199,.46672904
2022m2,.88865376,.85818851,.5239802,.43698803
2022m3,.57974768,.52451694,.44605356,.35211352
2022m4,.093518779,-.089984298,.34521672,.2413528
2022m5,-.058712445,-.25371957,.27751493,.17143714
2022m6,.34615576,.22075805,.21286662,.10790104
2022m7,.22816457,.1369025,.11221088,-.00035711285
2022m8,-.14909525,-.27905899,.029440871,-.084690541
2022m9,-.034814868,-.14117201,.033380684,-.074627459
2022m10,.0221816,-.0053218221,.025342671,-.085003659
2022m11,-.017247856,-.11613481,-.023631807,-.13279837
2022m12,-.16518246,-.2344839,-.041741345,-.16419226
2023m1,.12897711,.00058343966,-.0066232206,-.13934283
2023m2,-.13105457,-.34710535,.0067126025,-.13145132
2023m3,-.094614543,-.20939438,.039506748,-.11815728
2023m4,.065178715,-.14564252,.076159395,-.086344771
2023m5,.16696788,-.055414159,.1398509,-.0276803
2023m6,.085207537,-.070148364,.17068887,.006008931
2023m7,.31732893,.11432454,.23953602,.080893144
2023m8,.31262594,.17017776,.32293534,.16324751
2023m9,.40804115,.29349634,.37612942,.22312321
2023m10,.40651879,.30378652,.42497489,.2792033
2023m11,.4885698,.32685256,.47562271,.31907576
2023m12,.65597928,.53179497,.50628877,.352851
2024m1,.5439254,.39323875,.53772157,.37535343
2024m2,.60657722,.44930664,.54334825,.3702811
2024m3,.54103798,.28870386,.58508742,.40225691
2024m4,.59332347,.41830155,.64761436,.46304551
2024m5,.59552127,.37269968,.68400127,.50115138
2024m6,.45868102,.2478455,.7047323,.5204438
2024m7,.78217107,.59156877,.73539263,.55489635
2024m8,1.0513128,.87394994,.755557,.59029645
2024m9,.9834612,.87474757,.79562336,.62854928
2024m10,.73050457,.56687039,.80862296,.63882953
2024m11,.88252044,.7593801,.83484983,.67375207
2024m12,.72251707,.60730457,.85150361,.69353616
2025m1,.9539209,.76257694,.80948508,.64453083
2025m2,.71251762,.46522194,.80086058,.62764537
2025m3,.69472277,.56214839,.8022719,.6382544
2025m4,.93205506,.76962566,.75733823,.58699608
2025m5,.67314583,.4329021,.76732761,.59065044
2025m6,.90584117,.72277814,.74097127,.57193071
2025m7,.74320626,.66235185,.77277738,.62249237
2025m8,.47811753,.29805514,.78271419,.63275027
2025m9,.81242156,.64019382,.76404655,.61564088
2025m10,.71671367,.5940991,.77703238,.6417464
2025m11,.9987725,.92027718,.75556427,.62824112
2025m12,.784154,.65446955,.75803584,.62141895
2026m1,,,,
