date,mean_fcast_lt_ecb,med_fcast_lt_ecb
2020m1,,
2020m2,,
2020m3,,
2020m4,3.499141861826453,2
2020m5,3.020445598530475,2
2020m6,3.512589777156886,2.3
2020m7,3.157427140487437,2
2020m8,2.973264983398332,2
2020m9,2.795067028812344,2
2020m10,3.252745146392201,2
2020m11,3.136648886594091,2
2020m12,3.429651348566196,2
2021m1,3.44574905580947,2.5
2021m2,3.767213236321613,2
2021m3,3.493881072977954,2
2021m4,2.802861134607364,2
2021m5,1.937858566416885,1
2021m6,4.196448550348356,3
2021m7,3.711008324047639,3
2021m8,3.588772281337031,2.5
2021m9,3.48742027415506,2.5
2021m10,2.703639490808906,1.8
2021m11,4.0865494503913,3
2021m12,3.15445352798315,2.5
2022m1,3.867267058205914,3
2022m2,3.48705336428064,3
2022m3,3.850732928908049,3
2022m4,4.26492301009808,3.5
2022m5,3.804812490568078,3.1500001
2022m6,3.724128832106167,3
2022m7,3.881880053945453,3.4000001
2022m8,4.362487356383962,4
2022m9,3.092447144722311,3
2022m10,3.711015874062978,3.5
2022m11,3.302869273597956,3
2022m12,4.079291779511024,4
2023m1,3.221900092272312,3
2023m2,3.227972577020108,3
2023m3,3.596047143852609,3
2023m4,3.82493266500904,3
2023m5,3.161479366137068,3
2023m6,3.651162257538777,3
2023m7,3.76400058275906,3
2023m8,3.911594291827834,3
2023m9,3.916649090250801,3
2023m10,4.340205328344383,3.3
2023m11,3.885376898379021,3
2023m12,3.934618912244336,3
2024m1,3.863167271606881,3
2024m2,4.310589959371862,3
2024m3,4.395912231589017,3.5
2024m4,4.724362332979609,3.5
2024m5,4.15312561992565,3.0999999
2024m6,3.974122210213081,3
2024m7,,
2024m8,,
